algorithm,input_size,case,time
selection,5000,ascending,0.049
selection,10000,ascending,0.199037
selection,20000,ascending,0.77915
selection,5000,descending,0.054002
selection,10000,descending,0.192041
selection,20000,descending,0.796204
selection,5000,random,0.049517
selection,10000,random,0.194036
selection,20000,random,0.816665
insertion,5000,ascending,0.000998
insertion,10000,ascending,0.003
insertion,20000,ascending,0.005001
insertion,5000,descending,1.18834
insertion,10000,descending,4.65788
insertion,20000,descending,18.4415
insertion,5000,random,0.582108
insertion,10000,random,2.32951
insertion,20000,random,9.30128
quick,5000,ascending,4.64235
quick,10000,ascending,18.2818
quick,20000,ascending,73.6729
quick,5000,descending,2.32219
quick,10000,descending,9.25574
quick,20000,descending,37.0219
quick,5000,random,0.016512
quick,10000,random,0.033006
quick,20000,random,0.068512
merge,5000,ascending,0.022015
merge,10000,ascending,0.042003
merge,20000,ascending,0.087511
merge,5000,descending,0.019002
merge,10000,descending,0.042002
merge,20000,descending,0.093518
merge,5000,random,0.02
merge,10000,random,0.047002
merge,20000,random,0.096519
